Test Case,Clauses (m),Bound,Approx MaxSAT,MIS Independent Set,Reduction Time (s),MIS Solve Time (s)
test_case1.txt,10,10,10,10,0.022162199020385742,0.031026840209960938
test_case2.txt,24,24,24,24,0.021617889404296875,0.028444766998291016
test_case3.txt,7,7,7,7,0.02168107032775879,0.027007102966308594
test_case4.txt,9,9,9,9,0.021391868591308594,0.02713608741760254
test_case5.txt,8,8,8,8,0.021062135696411133,0.02691793441772461
test_case6.txt,16,16,16,16,0.022454023361206055,0.027911901473999023
test_case7.txt,14,14,14,14,0.022986888885498047,0.02849292755126953
test_case8.txt,11,11,11,11,0.022150754928588867,0.027270793914794922
test_case9.txt,6,6,6,6,0.021331787109375,0.02755284309387207
test_case10.txt,16,16,16,16,0.021017789840698242,0.02727818489074707
